Address_x,Parcel Name,Agency,Current Uses,Total Area,Open Petroleum Spill,Structure Completed,Number Structures,Total Gross Area Structures,Major Use,Num Floors,BBL_int,LotArea,BldgArea,NumBldgs,YearBuilt,BBL,XCoord,YCoord,EBCx Cost per SqFt,EBCx Total Cost,Energy Cost per SqFt Before EBCx,Energy Cost per SqFt After EBCx,Yearly Savings After EBCx,Standard Retrofit Cost per SqFt,Energy Cost per SqFt After Standard Retrofit
227 MADISON STREET,GOUVERNEUR SNF/DIAG TRMNT CTR,HHC,HEALTH FACILITY,73313,Yes,1970,2,550232,I1,14,1002700032,73313,550232,2,1970,1002700032,987636,199113,0.31,170572,6.32,5.69,346646,4.78,
327 EAST 26 STREET,HEALTH DEPT PUBLIC HEALTH LAB,HLTH,"AGCY OFFICE, S/T & L/T AGREEMENTS",44250,,1964,1,336212,I5,14,1009320017,44250,336212,1,1964,1009320017,990493,208637,0.31,104226,6.32,5.69,211814,4.78,
462 1 AVENUE,BELVUE HOSP CTR/CUNY/OCME/EMS,"HHC, CUNY","FIELD OFFICE-PUBLIC, AMBULANCE STATION, HOSPITAL, OTH DETENTION FACIL, TESTING LABORATORY",753175,Yes,1910,7,2124441,I1,17,1009620100,753175,2124441,7,1910,1009620100,991083,208423,0.31,658577,6.32,5.69,1338398,4.78,
ROOSEVELT ISLAND,GOLDWATER MEMORIAL HOSPITAL,HHC,"RES HEALTH CARE FAC, WASTEWATER PUMPING",430639,,1939,10,432690,I1,8,1013730020,286626,228535,3,1939,1013730020,996134,213959,0.31,70846,6.32,5.69,143977,4.78,
900 MAIN STREET,COLER MEMORIAL HOSP,HHC,"RES HEALTH CARE FAC, WASTEWATER PUMPING",490397,Yes,1900,4,661538,I1,8,1013730050,490397,661538,4,1900,1013730050,1000315,219954,0.31,205077,6.32,5.69,416769,4.78,
1880 2 AVENUE,METROPOLITAN HOSPITAL/EMS 10,HHC,"AMBULANCE STATION, HOSPITAL",293586,Yes,1967,3,1075000,I1,14,1016690001,293586,1075000,3,1967,1016690001,999492,225298,0.31,333250,6.32,5.69,677250,4.78,
504 LENOX AVENUE,HARLEM HOSPITAL CENTER,HHC,"FIELD OFFICE-PUBLIC, HOSPITAL",74325,Yes,1965,1,1267362,I1,18,1017330001,74325,1267362,1,1965,1017330001,1000923,235890,0.31,392882,6.32,5.69,798438,4.78,
1 HAVEN AVENUE,COMM BD 12,CB112,AGCY OFFICE,35400,,1975,1,230565,I1,17,1021390051,35400,230565,1,1975,1021390051,1000137,246298,0.31,71475,6.32,5.69,145256,4.78,
229 EAST 144 STREET,LINCOLN MEDICAL & MENT HLTH CR,HHC,"FIELD OFFICE-PUBLIC, AMBULANCE STATION, HOSPITAL, INDOOR STORAGE-EQUIP",430755,Yes,1972,2,1593305,I1,14,2023350016,430755,1593305,2,1972,2023350016,1005154,236853,0.31,493925,6.32,5.69,1003782,4.78,
1650 SELWYN AVENUE,COMM BD 4,CB204,AGCY OFFICE,20487,,1923,2,243426,I4,20,2028240005,20487,243426,2,1923,2028240005,1009125,246577,0.31,75462,6.32,5.69,153358,4.78,
3424 KOSSUTH AVENUE,NORTH CENTRAL BRONX HOSPITAL,HHC,"FIELD OFFICE-PUBLIC, HOSPITAL",73007,,1972,1,204200,I1,18,2033270200,73007,204200,1,1972,2033270200,1017133,260085,0.31,63302,6.32,5.69,128646,4.78,
1400 PELHAM PARKWAY SOUTH,JACOBI MED CTR/49TH PCT/EMS 20,"HHC, NYPD, OCME","AGCY OFFICE, POLICE STATION, AMBULANCE STATION, HEALTH FACILITY, OTHER HEALTH FACILTY",1739930,Yes,1957,9,1453318,I1,12,2042050001,1739930,1453318,14,1957,2042050001,1027042,251065,0.31,450529,6.32,5.69,915590,4.78,
1500 WATERS PLACE,,DDC,ROAD/HIGHWAY,3343602,,1960,10,1231455,I1,2,2042260030,3343602,1231455,16,1960,2042260030,1028803,248294,0.31,381751,6.32,5.69,775817,4.78,
760 BROADWAY,EMS ST.57,HHC,"AMBULANCE STATION, HOSPITAL",510000,Yes,1972,1,835231,I1,9,3017230001,510000,835231,5,1972,3017230001,1000120,194124,0.31,258922,6.32,5.69,526196,4.78,
451 CLARKSON AVENUE,KINGS COUNTY HOSPITAL CENTER,HHC,"FIELD OFFICE-PUBLIC, AMBULANCE STATION, HOSPITAL",1049035,Yes,1930,19,1460000,I1,5,3048290001,988486,1503150,18,1930,3048290001,999834,178530,0.31,465977,6.32,5.69,946985,4.78,
2661 OCEAN PARKWAY,CONEY ISLAND HOSPITAL/EMS 42,HHC,"FIELD OFFICE-PUBLIC, AMBULANCE STATION, HOSPITAL",477660,Yes,1931,11,637100,I1,12,3072390001,477660,637100,15,1931,3072390001,994008,152645,0.31,197501,6.32,5.69,401373,4.78,
79-01 BROADWAY,ELMHURST HOSPITAL CENTER,HHC,"FIELD OFFICE-PUBLIC, HOSPITAL, OTH DETENTION FACIL",276500,Yes,1949,7,1502532,I1,11,4015000002,276500,1502532,9,1949,4015000002,1015938,210765,0.31,465785,6.32,5.69,946595,4.78,
161-25 PARSONS BOULEVARD,QUEENS HOSPITAL CTR/GATEWAY HS,"HHC, EDUC","FIELD OFFICE-PUBLIC, ACADEMIC HIGH SCHOOL, AMBULANCE STATION, HOSPITAL, OTHER HEALTH FACILTY",817956,Yes,1939,9,1352524,I1,12,4068580001,735876,1352524,11,1939,4068580001,1038117,200827,0.31,419282,6.32,5.69,852090,4.78,
80-45 WINCHESTER BOULEVARD,CREEDMOOR PSYCHIATRIC CENTER,"EDUC, SANIT","EDUCATIONAL FACILITY, INDOOR STORAGE(WHSE)",984187,Yes,1957,3,448500,I1,18,4078700001,984187,448500,3,1957,4078700001,1058751,209439,0.31,139035,6.32,5.69,282555,4.78,
78-70 WINCHESTER BOULEVARD,CREEDMOOR HOSPITAL,EDUC,EDUCATIONAL FACILITY,3937876,,1936,1,1000000,I1,2,4078800001,3937876,1000000,9,1936,4078800001,,,0.31,310000,6.32,5.69,630000,4.78,
73-50 LITTLE NECK PARKWAY,CREEDMOOR FARM PARK,PARKS,PARK,3578890,Yes,1969,6,202459,I1,2,4084010001,3578890,202459,10,1969,4084010001,1060698,211771,0.31,62762,6.32,5.69,127549,4.78,
460 BRIELLE AVENUE,SEAVIEW HOSPITAL/EMS ST. 22,"PARKS, DCAS, EDUC, HHC","AGCY OFFICE, ACADEMIC HIGH SCHOOL, PARK, AMBULANCE STATION, RES HEALTH CARE FAC, OTHER HEALTH FACILTY, OTHER TRANS FACILITY, SECTION STATION, IN USE-RES STRUCTURE, IN USE-TENANTED, LONG-TERM AGREEMENT, SHORT-TERM AGREEMENT",1514766,,1930,21,494840,I1,5,5009550001,1514766,494840,21,1930,5009550001,,,0.31,153400,6.32,5.69,311749,4.78,
777 SEAVIEW AVENUE,SOUTH BEACH STATE PARK,PARKS,PARK,3314434,Yes,1968,15,436145,I1,2,5033550001,3314434,476145,15,1968,5033550001,962615,151202,0.31,147605,6.32,5.69,299971,4.78,
83 MAIDEN LANE,,"BLDGS, DOI",AGCY OFFICE,10894,,1958,1,155450,O2,13,1000680007,10894,155450,1,1958,1000680007,982209,197051,0.31,48190,2.24,1.92,49744,2.195,1.59
161 WILLIAM STREET,,DYCD,AGCY OFFICE,10586,,1951,1,177433,O3,22,1000920005,10586,177433,1,1951,1000920005,982534,198011,0.31,55004,2.24,1.92,56779,2.195,1.59
156 WILLIAM STREET,DYCD HEADQUARTERS,DYCD,AGCY EXECUTVE OFFICE,19103,,1955,1,215755,O3,12,1000930020,19103,215755,1,1955,1000930020,982704,197865,0.31,66884,2.24,1.92,69042,2.195,1.59
9 PARK PLACE,,BLDGS,AGCY OFFICE,12233,,1927,1,205000,O2,18,1001240004,12233,205000,1,1927,1001240004,981969,199101,0.31,63550,2.24,1.92,65600,2.195,1.59
23 CHAMBERS STREET,SURROGATE COURT,DCAS,"OFFICE, AGCY EXECUTVE OFFICE, AGCY OFFICE, BOROUGH OFFICE, COURTHOUSE, CUSTODIAL, SHORT-TERM AGREEMENT",29511,,1910,1,229824,O9,8.5,1001530024,29511,229824,1,1910,1001530024,983074,199258,0.31,71245,2.24,1.92,73544,2.195,1.59
59 LEONARD STREET,HRA/DSS CENTRAL OFFICE,"HRA, PA-MN","FIELD OFFICE-STAFF, INDOOR STORAGE(WHSE)",13606,,1948,1,202000,O3,15,1001770002,13606,202000,1,1948,1001770002,982642,200888,0.31,62620,2.24,1.92,64640,2.195,1.59
34 WEST 14 STREET,,EDUC,ACADEMIC HIGH SCHOOL,25297,,1930,1,151540,O9,5,1005770019,25297,151540,1,1930,1005770019,985432,207574,0.31,46977,2.24,1.92,48493,2.195,1.59
244 11 AVENUE,HRA OFFICE OF FACILITIES OPR,HRA,FIELD OFFICE-STAFF,34198,Yes,1911,1,154433,O1,7,1006980001,34198,154433,1,1911,1006980001,982885,212881,0.31,47874,2.24,1.92,49419,2.195,1.59
500 8 AVENUE,,EDUC,ACADEMIC HIGH SCHOOL,19027,,1922,1,243350,O2,12,1007850001,19027,243350,1,1922,1007850001,986346,213619,0.31,75439,2.24,1.92,77872,2.195,1.59
505 PARK AVENUE,,CB108,AGCY OFFICE,10543,Yes,1949,1,220510,O4,21,1013940001,10543,220510,1,1949,1013940001,992757,217237,0.31,68358,2.24,1.92,70563,2.195,1.59
55 WEST 125 STREET,,ACS,FIELD OFFICE-STAFF,19152,,1974,1,228017,O3,15,1017230010,19152,228017,1,1974,1017230010,999722,233485,0.31,70685,2.24,1.92,72965,2.195,1.59
215 WEST 125 STREET,,CB110,AGCY OFFICE,29975,,1971,1,170841,O1,6,1019310021,29975,170841,1,1971,1019310021,998385,234274,0.31,52961,2.24,1.92,54669,2.195,1.59
